adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,"[12, 36]",1084736,fr,Le Comte de Monte-Cristo,,4.481,/41sfnbdRIw2dbpFBJPxs3VPNkSi.jpg,2024-10-23,Le Comte de Monte-Cristo,False,0,0
False,/43V8ES6Hfx6d1knUxjLm0Fn85BT.jpg,"[28, 878]",1114819,en,Terminator: Skynet Rising,"The Machines have been working in a way to restore Skynet back on, since Legion was destroyed, now the resistance discovered their plans and must find a way to prevent that from happening.",3.769,/sDaiXePHWB2YLQbnYhWCFV04L68.jpg,2024-10-20,Terminator: Skynet Rising,False,0,0
False,/bDuCriydxdLecnCqMjBEynxw9mR.jpg,"[18, 80, 53]",889737,en,Joker: Folie à Deux,A sequel to the 2019 film Joker.,3.543,/hoUe1MpSU8Eji6cxYbOYY6k2DFa.jpg,2024-10-02,Joker: Folie à Deux,False,0,0
False,,"[27, 53]",1102485,en,Untitled Monkeypaw Horror/Thriller,Plot under wraps.,2.661,,2024-09-27,Untitled Monkeypaw Horror/Thriller,False,0,0
False,,"[28, 53]",1083637,kn,ಕಾಂತಾರ Prequel,Prequel to 2022 box-office blockbuster film Kantara.,0.6,,2024-09-27,Prequel of Kantara,False,0,0
False,,"[28, 878, 16]",1068401,en,Terra: Part Two,The second part in the Terra duology.,1.818,,2024-09-20,Terra: Part Two,False,0,0
False,,"[16, 35, 10751, 10770]",798051,en,The Amazing World of Gumball: The Movie!,"Gumball’s biggest fan finds the show’s missing episode and accidentally opens a portal connecting his world to Gumball’s cartoon world. Upon meeting his heroes, our super fan decides to team up with Gumball, Darwin, Anais, Richard and Nicole to save them from a nefarious force overtaking Elmore, while inadvertently unleashing a threat of their very own.",7.272,/kcIkEcIFGrFaDrtob9578bao3SI.jpg,2024-09-07,The Amazing World of Gumball: The Movie!,False,0,0
False,,[18],393897,en,EFC,"Riding off the heels of her sister Scarlett’s championship legacy, Cassady Jones is now the EFC Champion and the new face of women’s mixed martial arts.  Alexa Star begins to rise quickly through the ranks with fervor to become the number one contender for the EFC championship. With ripples of excitement and anticipation, Cassady and Alexa collide for the first time only to find themselves in a melee that shocks the entire sports world, while leaving EFC in the most tumultuous period of its history.  As Donna and Nikki fight to keep the floundering EFC alive, majority shareholder Frank Russo recruits John David for one last strike at liquidating and selling off the assets of the company while dissolving the only women’s mixed martial arts promotion in the country. With the future of the company at stake, the fight for EFC isn’t just another fight, it’s the fight for everything.",1.188,/yDt4UrDKRsfg6v5hsYOUOL9vPN5.jpg,2024-09-06,EFC,False,0,0
False,,"[35, 14]",917496,en,Beetlejuice 2,A follow-up to Tim Burton's Beetlejuice (1988).,16.489,,2024-09-05,Beetlejuice 2,False,0,0
False,/hFtJz4TvoiJJcw2ZOMdhK22aU9P.jpg,[14],617127,en,Blade,,12.865,/fKqA4rgVJwrM7Gb3tQ9TGHnu8Tr.jpg,2024-09-04,Blade,False,0,0
False,,[],1112426,hi,Stree 2,Sequel to the movie Stree.,0.688,,2024-08-31,Stree 2,False,0,0
