adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[99],1101031,id,Alkisah Timur,"New cosmopolitanism started with the bromocorah’s (free agent) dynasty. Through Palah (Panataran), we see the legitimacy of his great-grandsons appropriating the power of the Central Javanese dynasty, perpetuating the throne and cultural hegemony through the story of the man in the tkes hat, Panji.",0.6,/1DzPo2uBKgH9GdEysLYw5qsbWAo.jpg,2022-11-16,Alkisah Timur,False,0,0
False,/7uCMhK16fDRuiYjnoP2fHhUozXM.jpg,"[18, 10751]",1101011,en,If I Could Ride,"A young girl's dream is to ride horses, but she can't because of a disability. She meets Bridget, the reigning equestrian champion, who suffers an injury, and asks her to compete in her place at the next competition. As she goes through physical therapy and begins training, the two girls must come together to learn the importance of friendship, family, following your dreams, and never giving up.",0.6,/2iNfgOb2IkeyumjnSqvNdBlkrST.jpg,2022-05-15,If I Could Ride,False,0,0
False,,"[35, 10751]",1100999,fr,L'humour c'est mieux à deux,,0.6,/ggxqUi6rczrZe8zElbUaCazqtUG.jpg,2022-09-16,L'humour c'est mieux à deux,False,0,0
False,,[],1100991,en,Three Moons,"LoVid’s Three Moons compiles footage of weeds, wild flora, and friends in and around Long Island taken with a custom-built temporospatial camera.",0.6,/xq5sIqNasnEICLpOiTWvuNJC5Hc.jpg,2022-12-01,Three Moons,False,0,0
False,,"[35, 27]",1100982,tr,3+1 Zombili,,0.628,,2022-01-01,3+1 Zombili,False,0,0
False,/fvZ6bWWBahZTcPyqZoiqw6SaHwu.jpg,"[18, 53]",1100954,en,Controlled,"Jordan Scott is a psychiatrist with a psychiatrist of her own. She's an externally successful powerhouse who's internally battling a three-sided war between expectations, image and reality. As reoccurring nightmares of her childhood become more frequent, and an unhealthy, alcoholic influenced relationship becomes toxic, Jordan seeks help from her own kind to turnover a new leaf.",0.6,/crmD5qCfYEYDZxA7H2FlowlU4VW.jpg,2022-11-18,Controlled,False,8,1
False,,[878],1100952,nl,A5-ERA,"In an abandoned villa, an android must deal with the fact that her owners are no longer there.",0.6,,2022-01-01,A5-ERA,False,0,0
False,,"[36, 35, 18]",1100946,es,Por Los Viejos Tiempos,"Two old friends meet after years of not seeing each other: Miguel, a prisoner who is about to be killed by a troop of the Mexican Revolution; and Luciano, the General of the troop and the man tasked with commanding Miguel’s execution.",0.6,/9C0vtjNJ18q4i1gpAgIMrj7CijQ.jpg,2022-02-04,For Old Times' Sake,False,0,0
False,/733TioyYuXDDi89C8leVpewf1EO.jpg,"[53, 27]",1100921,en,The Robbery,A robbery goes terribly wrong.,0.6,/uhuVLqAWLJZvGK8CgWTh6ZcOXlM.jpg,2022-08-20,The Robbery,False,0,0
False,,"[878, 53, 18]",1100917,en,Pollinator,"A dystopian future set in a totalitarian world , where a young man's life is about to change.",0.665,/smg5XvWcwSqUoUjyPtIFskPc6Ot.jpg,2022-09-03,Pollinator,False,0,0
False,,[10749],1100916,ja,「これは私だけのサービスですよ・・・」巨乳でフル勃起したチ○ポをを笑顔で容赦なくヌキ上げてくる家事代行お姉さん　美乃すずめ,,5.816,/8jlYC9AuznMspfEKP64FXwB2A1B.jpg,2022-06-23,「これは私だけのサービスですよ・・・」巨乳でフル勃起したチ○ポをを笑顔で容赦なくヌキ上げてくる家事代行お姉さん　美乃すずめ,False,0,0
False,,[18],1100890,en,A Nice Way to Live,"17-year-old Mila Ackerman receives a job offer from a research company A Nice Way to Live. Her relationship with her best friend Matthew Hallsted, is put into question as he despises the mysterious organization.",0.6,,2022-12-17,A Nice Way to Live,False,0,0
False,,[18],1100843,ro,Appalachia,"Leo, a 17-year-old biker, and Raisa, the pastor's daughter of a small conservative village from Romania, fall in love at first sight, but communitarianism and religious fanaticism will defeat their relationship.",0.6,/beDExlaqVttvY7oENIdkb9o1lRS.jpg,2022-10-01,Appalachia,False,0,0
